Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
153;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";0,372;Q3;82;1016;3998;39239;8426;3977;1,97;38,62;32,26;0;206;Netherlands;Western Europe;"IOS Press BV";"1993-2023";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q3)";"Computer Science; Engineering; Mathematics"
154;13794;"BioSystems";journal;"03032647, 18728324";0,370;Q3;83;118;392;6845;693;380;1,66;58,01;25,23;0;14;Ireland;Western Europe;"Elsevier Ireland Ltd";"1967-2023";"Applied Mathematics (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3)";"Biochemistry, Genetics and Molecular Biology; Mathematics; Medicine"
155;19900192736;"Brazilian Journal of Probability and Statistics";journal;"01030752";0,365;Q3;22;41;138;1266;110;135;0,91;30,88;33,02;0;5;Brazil;Latin America;"Associacao Brasileira de Estatistica";"2009-2023";"Statistics and Probability (Q3)";"Mathematics"
156;11300153404;"Journal of the Korean Statistical Society";journal;"12263192";0,365;Q3;27;56;175;1589;121;169;0,66;28,38;28,32;0;3;South Korea;Asiatic Region;"Korean Statistical Society";"2008-2023";"Statistics and Probability (Q3)";"Mathematics"
157;21100934093;"Journal of Econometric Methods";journal;"21566674";0,361;Q3;14;8;28;269;22;28;0,84;33,63;7,14;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2013, 2015-2023";"Applied Mathematics (Q3); Economics and Econometrics (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics"
158;21100202933;"Teaching Statistics";journal;"14679639, 0141982X";0,356;Q3;18;18;91;349;72;78;0,88;19,39;45,16;0;1;United States;Northern America;"Wiley-Blackwell";"1979-2023";"Education (Q3); Statistics and Probability (Q3)";"Mathematics; Social Sciences"
159;21100206801;"Statistics and its Interface";journal;"19387989, 19387997";0,355;Q3;23;40;142;1330;93;141;0,68;33,25;38,10;0;6;United States;Northern America;"International Press of Boston, Inc.";"2011-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3)";"Mathematics"
160;14345;"Theory in Biosciences";journal;"16117530, 14317613";0,350;Q3;41;28;77;1609;124;75;1,38;57,46;32,56;0;5;Germany;Western Europe;"Springer Verlag";"1997-2023";"Applied Mathematics (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Statistics and Probability (Q3)";"Agricultural and Biological Sciences; Mathematics"
161;21101057377;"Advanced Mathematical Models and Applications";journal;"25194445";0,342;Q3;8;33;47;688;73;47;1,85;20,85;29,11;0;0;Azerbaijan;Eastern Europe;"Jomard Publishing";"2019, 2021-2023";"Applied Mathematics (Q3); Computational Mathematics (Q3); Control and Optimization (Q3); Modeling and Simulation (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";"Mathematics"
162;21101080473;"Information Geometry";journal;"2511249X, 25112481";0,341;Q3;9;16;34;656;38;32;1,16;41,00;14,81;0;0;Singapore;Asiatic Region;"Springer Nature";"2018-2023";"Applied Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics"
163;21100209308;"Theory of Probability and Mathematical Statistics";journal;"00949000, 15477363";0,341;Q3;15;22;101;651;48;94;0,54;29,59;26,67;0;1;United States;Northern America;"American Mathematical Society";"2000, 2004-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
